delivery_date,hour_ending,repeated_hour_flag,settlement_point,settlement_point_price
02/02/2021,11:00,N,HB_NORTH,18.59
02/02/2021,11:00,N,HB_PAN,14.55
02/02/2021,11:00,N,HB_SOUTH,20.36
02/02/2021,11:00,N,HB_WEST,17.1
02/02/2021,11:00,N,LZ_AEN,19.84
02/02/2021,11:00,N,LZ_CPS,20.56
02/02/2021,11:00,N,LZ_HOUSTON,20.02
02/02/2021,11:00,N,LZ_LCRA,19.69
02/02/2021,11:00,N,LZ_NORTH,18.67
02/02/2021,11:00,N,LZ_RAYBN,19.03
02/02/2021,11:00,N,LZ_SOUTH,22.41
02/02/2021,11:00,N,LZ_WEST,15.84
02/02/2021,12:00,N,HB_BUSAVG,17.81
02/02/2021,12:00,N,HB_HOUSTON,18.5
02/02/2021,12:00,N,HB_HUBAVG,17.8
02/02/2021,12:00,N,HB_NORTH,17.51
02/02/2021,12:00,N,HB_PAN,15.38
02/02/2021,12:00,N,HB_SOUTH,18.96
02/02/2021,12:00,N,HB_WEST,16.22
02/02/2021,12:00,N,LZ_AEN,18.65
02/02/2021,12:00,N,LZ_CPS,18.96
